url_path,views_total,views_unique
/EarthSciML/EarthSciMLBase.jl,27,4
/EarthSciML/EarthSciMLBase.jl/pulls,12,1
/EarthSciML/EarthSciMLBase.jl/issues,11,2
/EarthSciML/EarthSciMLBase.jl/actions,11,1
/EarthSciML/EarthSciMLBase.jl/issues/76,6,2
/EarthSciML/EarthSciMLBase.jl/actions/runs/11943915986,6,1
/EarthSciML/EarthSciMLBase.jl/issues/69,5,2
/EarthSciML/EarthSciMLBase.jl/pull/79,5,2
/EarthSciML/EarthSciMLBase.jl/commit/df94ae17cdff8cb91a05fa4ce4fd7f06aaad67fb,4,3
/EarthSciML/EarthSciMLBase.jl/blob/main/Project.toml,4,2
