time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,16,6,0,0
2026-05-26 00:00:00+00:00,28,12,0,0
2026-05-27 00:00:00+00:00,17,8,0,0
2026-05-28 00:00:00+00:00,31,12,0,0
2026-05-29 00:00:00+00:00,29,13,4,2
2026-05-30 00:00:00+00:00,25,9,20,1
2026-05-31 00:00:00+00:00,30,17,0,0
2026-06-01 00:00:00+00:00,24,11,1,1
2026-06-02 00:00:00+00:00,13,8,0,0
2026-06-03 00:00:00+00:00,24,11,0,0
2026-06-04 00:00:00+00:00,6,4,1,1
2026-06-05 00:00:00+00:00,52,34,10,1
2026-06-06 00:00:00+00:00,18,9,1,1
2026-06-07 00:00:00+00:00,10,5,0,0
