time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,13,8,0,0
2026-06-03 00:00:00+00:00,24,11,0,0
2026-06-04 00:00:00+00:00,6,4,1,1
2026-06-05 00:00:00+00:00,52,34,10,1
2026-06-06 00:00:00+00:00,18,9,1,1
2026-06-07 00:00:00+00:00,10,5,0,0
2026-06-08 00:00:00+00:00,17,8,0,0
2026-06-09 00:00:00+00:00,122,12,0,0
2026-06-10 00:00:00+00:00,20,13,0,0
2026-06-11 00:00:00+00:00,25,9,0,0
2026-06-12 00:00:00+00:00,21,10,0,0
2026-06-13 00:00:00+00:00,14,5,0,0
2026-06-14 00:00:00+00:00,20,7,1,1
2026-06-15 00:00:00+00:00,30,9,0,0
